RAUMCODE;RAUMBEZEICHNUNG
AA0101;Zwischenstiege, Gang
AA0102;Abstellraum
AA0103;Vorraum
AA0103A;Aufzug
AA0103B;E-Verteiler
AA0103C;WC Damen, Waschraum
AA0103D;WC Behinderte
AA0104;Büro
AA0105;3 WC, Waschraum Damen
AA0106;Großes Sitzungszimmer
AA0107;Stiegenhaus
AA0107A;Aufzug
AA0111;3 WC, Waschraum Damen
AA0112;Besprechungsraum
AA0113;2 WC, Waschraum Herren
AA0115;Gang
AA0116;Büro Vizerektorin
AA0116A;EDV-Verteiler
AA0120;Assistenz, Sekretariat
AA0122;Büro Vizerektor
AA0126;Vorbereitung
AA0126A;Vorbereitung
AA0128;Büro
AA0130;Büro Vizerektor
AA0134;Büro Vizerektor
AA0134A;Teeküche
AA0135;Aufzug
AA0135A;HT-Schacht
AA0137;Aufzug
AA0138;Sekretariat Rektorin
AA0139;Foyer
AA0142;Büro der Rektorin
AA0145;Stiege + Gang
AA0148;Festsaal
AA0149;Gang
AA0158;Garderobe
AA0161A;E-Verteiler
AA0162;Boecklsaal
AA0165;Gang
AA0172;Büro
AA0172A;Vorraum
AA0174;Büro
AA0177;Vorraum
AA0178;Sozialraum
AA0178A;Teeküche, Gang
AA0182;Büro Dekan
AA0184;Büro Leitung
AA0186;Besprechungsraum
AA0201;Zwischenstiege, Gang
AA0202;Archiv
AA0203;Vorraum
AA0203A;Aufzug
AA0203B;E-Vertreiler
AA0203C;WC Damen, Waschraum
AA0203D;WC Behinderte
AA0204;Büro Prof.
AA0204A;Bibliothek
AA0205;Reinigungsmaterial
AA0205A;2 WC, Waschraum Damen
AA0206;Sekretariat
AA0206A;Vorraum, Gang
AA0207;Stiege
AA0207A;Aufzug
AA0208;Büro Ass.
AA0210;Büro Ass.
AA0211;2 WC, Waschraum Herren
AA0211A;1 WC Behinderte
AA0212;Büro
AA0212A;Vorraum
AA0213;2 WC, Waschraum Damen
AA0213A;Reinigungsmaterial
AA0214;EDV-Raum
AA0214A;EDV-Verteiler
AA0215;Gang
AA0216;Sozialraum, Küche
AA0216A;Gang
AA0218;Büro
AA0220;Büro
AA0222;Büro
AA0226;Büro
AA0226A;Teeküche
AA0228;Bibliothek
AA0228A;Gang
AA0232;Büro Ass.
AA0234;Büro Ass.
AA0234A;Gang
AA0235;Aufzug
AA0235A;HT-Schacht
AA0236;Büro Ass.
AA0237;Aufzug
AA0238;Büro Ass.
AA0239;Foyer
AA0240;Büro Ass.
AA0241;Projektraum 15
AA0242;Sekretariat
AA0242A;Gang
AA0244;Büro Prof.
AA0244A;Abstellraum
AA0245;Stiege 1 + Gang
AA0246A;Abstellraum
AA0249;Gang
AA0258;Büro Prof.
AA0258A;EDV-Raum
AA0260A;Teeküche
AA0261A;E-Verteiler
AA0262;Büro
AA0262A;Vorraum
AA0264;Büro Wiss.
AA0264A;Gang
AA0266;Büro Wiss.
AA0268;Büro
AA0268A;EDV-Verteiler
AA0268B;Gang
AA0270;Büro
AA0272;Büro Wiss.
AA0272A;Gang
AA0274;Büro Wiss.
AA0275;Vorraum
AA0276;Büro Wiss.
AA0277;Büro
AA0278;Büro
AA0280;Büro
AA0280A;Gang
AA0284;Sekretariat
AA0288;Büro Prof.
AA0288A;Besprechungsraum
AA0301;Zwischenstiege, Gang
AA0302;Büro
AA0303;Vorraum
AA0303A;Aufzug
AA0303B;E-Verteiler
AA0303C;WC Damen, Waschraum
AA0303D;WC Behinderte
AA0304;Büro
AA0305;Reinigungsmaterial
AA0305A;2 WC, Waschraum Damen
AA0306;Büro Wiss.
AA0306A;Vorraum
AA0307;Stiege
AA0307A;Aufzug
AA0308;Sekretariat
AA0310;Büro Wiss.
AA0311;Rechnerraum / Dipl.
AA0312;Büro Prof.
AA0314;Bibliothek Lehrm.
AA0314A;Vorraum
AA0315;Gang
AA0316;Büro Wiss.
AA0316A;Küche
AA0318;Seminarraum 212-232
AA0322;Büro
AA0322A;Vorraum
AA0326;Büro
AA0330;Besprechungsraum
AA0330A;Gang
AA0332;Sekretariat
AA0334;Büro Prof.
AA0334A;Vorraum
AA0335;Aufzug
AA0335A;Haustechnik
AA0335B;Gang
AA0336A;EDV-Verteiler
AA0337;Aufzug
AA0338;Bibliothek
AA0338A;Server
AA0339;Foyer
AA0340;Büro Prof.
AA0344;Büro Wiss.
AA0344A;Abstellraum
AA0344B;Stiege
AA0345;Stiege 1 + Gang
AA0348;Büro
AA0349;Gang
AA0351A;Stiege
AA0352;Büro
AA0352A;Besprechungsraum
AA0353;Gang
AA0354;Büro
AA0356;Büro
AA0358;Büro Wiss.
AA0358A;Abstellraum
AA0360;Büro
AA0362;Büro Wiss.
AA0362A;Vorraum
AA0364;Büro Wiss.
AA0364A;Bürotechnikraum
AA0368;Büro
AA0372;Büro
AA0372A;Abstellraum
AA0376;Sekretariat
AA0376A;Vorraum
AA0378;Besprechungszimmer
AA0380;Büro Wiss.
AA0380A;Bibliothek
AA0381;Stiege
AA0384;Sekretariat
AA0384A;Vorraum
AA0384B;Küche
AA0386;Büro Prof.
AA0386A;Büro Prof.
AA0386B;Vorraum
AA0402;Dachboden
AA0403;Vorraum
AA0403A;Aufzug
AA0407A;Aufzug Maschinenraum
AA0416;Dachboden
AA0422A;Gang
AA0423;Gang
AA0424;WC Damen
AA0424A;WC Herren
AA0424B;Haustechnik
AA0426;WC Behinderte
AA0428;Begleitraum Kuppel
AA0434;Haustechnik
AA0435;Aufzug
AA0435A;Haustechnik
AA0435B;Haustechnik
AA0437;Aufzug
AA0440A;Haustechnik
AA0442;Lager
AA0444B;Stiege und Gang
AA0446;Haustechnik
AA0448;Kuppelsaal
AA0451;Gang
AA0451A;Stiege
AA0453;Büro
AA0457;Büro
AA0458;Bibliothek
AA0459;Büro
AA0462;Lager
AA0462A;Modelliersaal
AA0463;Computer, EDV
AA0467;Archiv
AA0473;Dunkelkammer
AA0475;Gang
AA0477;EDV-Verteiler
AA0478A;Gipsraum
AA0481;Stiege 1C
AA0482;Dachboden/Lager
AA0482A;Abstellraum
AA0484;Versuchsraum
AAEG01;Zwischenstiege, Gang
AAEG03;Vorraum
AAEG03A;Aufzug
AAEG03B;E-Verteiler
AAEG03C;WC Damen
AAEG03D;WC Behinderte
AAEG04;Poststelle
AAEG04A;Vorraum Poststelle
AAEG04B;Abstellraum Poststelle
AAEG05;Reinigungsmaterial
AAEG05A;2 WC, Waschraum Damen
AAEG06;Aula
AAEG07;Stiege und Gang
AAEG07A;Aufzug
AAEG11;3 WC, Waschraum Damen
AAEG12;Abstellraum Prechtlsaal
AAEG13;2 WC, Waschraum Herren
AAEG15;Gang
AAEG16;Veranstaltungstechnik
AAEG16A;Abstellraum
AAEG18;Prechtlsaal
AAEG35;Aufzug
AAEG35A;HT-Schacht
AAEG37;Aufzug
AAEG39;Meeting - Point
AAEG43;Windfang
AAEG44;Garderobe Prechtlsaal
AAEG45A;Abstellraum unter Stiege
AAEG48;Foyer
AAEG49;Vorraum
AAEG50;Windfang
AAEG50A;Stiege 1 + Aula
AAEG52;Windfang
AAEG53;Labor
AAEG54;Windfang
AAEG56;Portierloge
AAEG57;Büro
AAEG58;Portiere
AAEG58A;Stiege
AAEG60;Portiere Küche
AAEG60A;Gang
AAEG61;Büro
AAEG62;Portiere Garderobe
AAEG62A;Portiere Lager
AAEG62B;WC
AAEG64;Büro
AAEG65;Büro
AAEG66;Büro
AAEG68;Büro
AAEG69;2 WC, Waschraum
AAEG70;Büro
AAEG71;2 WC, Waschraum Herren
AAEG71B;1 WC, Waschraum Damen
AAEG72;Handbibliothek
AAEG73;Gang
AAEG77;Vorraum
AAEG78;Büro
AAEG82;Vorbereitungsraum
AAEG82A;Aufzug
AAEG84;HS 4 Hochstetter
AAU101;Stiege
AAU102;Lager
AAU103;Vorraum
AAU103A;Aufzug
AAU103B;Haustechnik
AAU103C;E-Verteiler
AAU104;Lager
AAU107;Stiege und Gang
AAU107A;Aufzug
AAU109;Lager Firma
AAU111;Labor CWRS
AAU125;Gang
AAU128;Testlabor
AAU128A;Reinraum
AAU132;Vorbereitungsraum
AAU135;Maschinenraum Aufzug
AAU137;Aufzug
AAU139;Gang
AAU141;EDV-Standortverteiler
AAU142;Lüftungsanlage
AAU143A;Gang
AAU145A;Gang
AAU148;Lüftung Prechtlsaal
AAU158;Archiv
AAU158A;Stiege
AAU160;Forschungslabor / Foto
AAU160A;Vorraum
AAU160B;Gang
AAU160C;Archiv unter Stiege
AAU162;Langzeit-1
AAU164;Mikroskopieraum
AAU166;Werkstatt
AAU168;Technik, Lager
AAU172;Werkstatt
AAU176;Pressenraum
AAU178;Sedimentlab.
AAU182;Archiv, Lager
AAU182A;Aufzug
AAU182B;Gang
AAU184A;Abstellraum
AAZ102;Stiege
AAZ381;Stiege
AAZE04;Galerie Poststelle
AB0101;Büro
AB0101A;Gang
AB0102;Büro
AB0105;Büro
AB0106;Büro
AB0107;Büro
AB0109;Büro
AB0110;Büro
AB0113;Büro
AB0114;Büro
AB0115;Büro
AB0116;Besprechungsraum
AB0117;Büro
AB0118;Sozialraum, Küche
AB0201;Teeküche
AB0201A;Gang
AB0202;Büro
AB0203;Büro
AB0207;Büro
AB0209;Büro
AB0210;Büro
AB0211;Büro Tutoren
AB0212;Büro
AB0214;Büro
AB0216;Büro
AB0301;Gang
AB0302;Hörsaal 14
AB0302A;Lüftung, Vorraum
AB0306;HS 14A Günther Feuerstein
AB0314;Hörsaal 15
AB0318A;Lüftung
AB0401;Gang
AB0402;Büro
AB0402A;Dachbodenstiege
AB0402B;Vorraum
AB0404;Büro
AB0404A;Teeküche
AB0408;Büro
AB0408A;Gang
AB0410;Büro
AB0410A;Gang
AB0414;Büro
AB0418;Büro
AB0418A;Lüftung
ABDG02;Dachboden
ABDG02A;Stiege
ABEG01;Gang
ABEG03;Büro
ABEG04;Probenlager
ABEG05;Büro
ABEG06;Labor
ABEG09;Büro
ABEG13;Büro
ABEG17;Vorraum
ABEG17A;Teeküche
ABEG18;Büro
ABEG18A;Notbeleuchtung Prechtlsaal
ABU101;Labor
ABU102;Labor
ABU102A;Labor
ABU106;Labor
ABU106A;Wendeltreppe
ABU110;Labor
ABU113;Labor
ABU114;Werkstatt
AC0101;Benutzerraum, Leseraum
AC0102;Büro
AC0102A;1 WC, Waschraum
AC0104;Stiege, Gang
AC0104A;Aufzug
AC0105;Archiv-Leiterin
AC0106;Gang
AC0108;Büro
AC0109;Büro, Multifunktion
AC0112;Büro
AC0112A;Gang
AC0114;Büro
AC0114A;Teeküche
AC0115;Repro Raum
AC0115A;Depot
AC0116A;Gang
AC0117;Büro
AC0118;Büro
AC0120;Büro
AC0121;Depot
AC0122;Büro
AC0124;Büro
AC0124A;Gang
AC0127;Depot
AC0127A;Stiege zum Zwischgeschoß
AC0128;Büro
AC0130;Büro
AC0133;Depot
AC0134;Büro
AC0136;Büro
AC0137;Lager
AC0138;Projektraum 14
AC0139;Gang
AC0141;Stiege 4
AC0141A;Stiege 4A
AC0143;Depot
AC0144;Projektraum 13
AC0151;Fotoarchiv
AC0152A;EDV-Verteiler
AC0201;Seminarraum
AC0202;Labor
AC0202A;Reinigungsmaterial
AC0202B;2 WC, Waschraum Herren
AC0202C;Gang
AC0202D;1 WC Behinderte
AC0202E;EDV-Verteiler
AC0204;Stiege und Gang
AC0204A;Aufzug
AC0205;Bibliothek Denkmalpflege
AC0205A;Vorraum
AC0206;Gang
AC0207;Bibliothek Bautechnik
AC0208;Büro Wiss.
AC0209;Sekretariat/Büro
AC0210;Büro Wiss.
AC0210A;Gang
AC0211;Büro
AC0212;Büro Wiss.
AC0213;Büro
AC0213A;Küche
AC0214;Besprechungszimmer
AC0214A;Gang
AC0215;Archiv
AC0217;Büro
AC0217A;Abstellraum
AC0218;Büro Prof.
AC0221;Büro Ass.
AC0221A;Vorraum
AC0222;Sekretariat
AC0222A;Gang
AC0223;Büro
AC0224;Büro Wiss.
AC0225;Rem (Mikr.)
AC0226;Bibliothek
AC0226A;Gang
AC0227;Härteprüfraum
AC0227A;Vorraum
