CAMPUS;TRAKT;TRAKTBEZEICHNUNG;ADRESSE;PLZ;ORT;GESCHOSS
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;ZE
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;Z1
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;02
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;03
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;Z3
A_KARLSPLATZ;AA;Haupttrakt;Karlsplatz 13;1040;Wien;04
A_KARLSPLATZ;AB;Hoftrakt;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AB;Hoftrakt;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AB;Hoftrakt;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AB;Hoftrakt;Karlsplatz 13;1040;Wien;02
A_KARLSPLATZ;AB;Hoftrakt;Karlsplatz 13;1040;Wien;03
A_KARLSPLATZ;AB;Hoftrakt;Karlsplatz 13;1040;Wien;04
A_KARLSPLATZ;AB;Hoftrakt;Karlsplatz 13;1040;Wien;DG
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;ZE
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;Z1
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;02
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;Z2
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;03
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;Z3
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;04
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;Z4
A_KARLSPLATZ;AC;Mitteltrakt;Karlsplatz 13;1040;Wien;DG
A_KARLSPLATZ;AD;Resseltrakt;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AD;Resseltrakt;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AD;Resseltrakt;Karlsplatz 13;1040;Wien;ZE
A_KARLSPLATZ;AD;Resseltrakt;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AD;Resseltrakt;Karlsplatz 13;1040;Wien;02
A_KARLSPLATZ;AD;Resseltrakt;Karlsplatz 13;1040;Wien;03
A_KARLSPLATZ;AD;Resseltrakt;Karlsplatz 13;1040;Wien;04
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;U2
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;ZU
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;ZE
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;Z1
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;02
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;03
A_KARLSPLATZ;AE;Karlstrakt;Karlsplatz 13;1040;Wien;Z3
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;ZE
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;02
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;Z2
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;03
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;DG
A_KARLSPLATZ;AF;Panigltrakt;Karlsplatz 13;1040;Wien;ZD
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;ZE
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;Z2
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;02
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;03
A_KARLSPLATZ;AG;Lammtrakt;Karlsplatz 13;1040;Wien;DG
A_KARLSPLATZ;AH;Hofpavillon;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AH;Hofpavillon;Karlsplatz 13;1040;Wien;ZE
A_KARLSPLATZ;AH;Hofpavillon;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AI;Luftpavillon;Karlsplatz 13;1040;Wien;U1
A_KARLSPLATZ;AI;Luftpavillon;Karlsplatz 13;1040;Wien;EG
A_KARLSPLATZ;AI;Luftpavillon;Karlsplatz 13;1040;Wien;01
A_KARLSPLATZ;AK;Institutsgebäude;Paniglgasse 16;1040;Wien;U1
A_KARLSPLATZ;AK;Institutsgebäude;Paniglgasse 16;1040;Wien;EG
A_KARLSPLATZ;AK;Institutsgebäude;Paniglgasse 16;1040;Wien;ZE
A_KARLSPLATZ;AK;Institutsgebäude;Paniglgasse 16;1040;Wien;01
A_KARLSPLATZ;AK;Institutsgebäude;Paniglgasse 16;1040;Wien;04
A_KARLSPLATZ;AP;Goldenes Lamm;Wiedner Hauptstraße 7;1040;Wien;U1
A_KARLSPLATZ;AP;Goldenes Lamm;Wiedner Hauptstraße 7;1040;Wien;ZU
A_KARLSPLATZ;AP;Goldenes Lamm;Wiedner Hauptstraße 7;1040;Wien;EG
A_KARLSPLATZ;AP;Goldenes Lamm;Wiedner Hauptstraße 7;1040;Wien;01
A_KARLSPLATZ;AP;Goldenes Lamm;Wiedner Hauptstraße 7;1040;Wien;02
A_KARLSPLATZ;AQ;Ödenburg;Wiedner Hauptstraße 9;1040;Wien;U1
A_KARLSPLATZ;AQ;Ödenburg;Wiedner Hauptstraße 9;1040;Wien;EG
A_KARLSPLATZ;AQ;Ödenburg;Wiedner Hauptstraße 9;1040;Wien;01
A_KARLSPLATZ;AS;Wohnhaus;Reselgasse 3;1040;Wien;U1
A_KARLSPLATZ;AS;Wohnhaus;Reselgasse 3;1040;Wien;EG
A_KARLSPLATZ;AS;Wohnhaus;Reselgasse 3;1040;Wien;01
A_KARLSPLATZ;AS;Wohnhaus;Reselgasse 3;1040;Wien;02
A_KARLSPLATZ;AS;Wohnhaus;Reselgasse 3;1040;Wien;03
A_KARLSPLATZ;AT;Wohnhaus;Resselgasse 5;1040;Wien;EG
A_KARLSPLATZ;AT;Wohnhaus;Resselgasse 5;1040;Wien;01
A_KARLSPLATZ;AT;Wohnhaus;Resselgasse 5;1040;Wien;02
A_KARLSPLATZ;AT;Wohnhaus;Resselgasse 5;1040;Wien;03
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;U1
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;EG
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;ZE
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;01
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;02
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;03
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;04
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;05
A_KARLSPLATZ;EA;Institutsgebäude;Argentinierstraße 8;1040;Wien;DG
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;U2
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;U1
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;EG
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;01
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;02
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;03
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;04
A_KARLSPLATZ;EB;Institutsgebäude;Karlsgasse 11;1040;Wien;DG
A_KARLSPLATZ;EC;Institutsgebäude;Karlsgasse 13;1040;Wien;U1
A_KARLSPLATZ;EC;Institutsgebäude;Karlsgasse 13;1040;Wien;EG
A_KARLSPLATZ;EC;Institutsgebäude;Karlsgasse 13;1040;Wien;01
A_KARLSPLATZ;EC;Institutsgebäude;Karlsgasse 13;1040;Wien;02
A_KARLSPLATZ;EC;Institutsgebäude;Karlsgasse 13;1040;Wien;03
A_KARLSPLATZ;EC;Institutsgebäude;Karlsgasse 13;1040;Wien;DG
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;U2
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;U1
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;ZU
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;EG
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;01
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;02
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;03
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;04
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;05
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;06
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;07
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;08
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;09
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;10
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;11
B_GETREIDEMARKT;BA;Plus Energie Büro Hochhaus;Getreidemarkt 9;1060;Wien;DG
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;U1
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;EG
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;01
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;02
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;03
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;04
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;Z4
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;05
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;Z5
B_GETREIDEMARKT;BB;Eckbau;Getreidemarkt 9;1060;Wien;06
B_GETREIDEMARKT;BC;Lehartrakt;Getreidemarkt 9;1060;Wien;U2
B_GETREIDEMARKT;BC;Lehartrakt;Getreidemarkt 9;1060;Wien;U1
B_GETREIDEMARKT;BC;Lehartrakt;Getreidemarkt 9;1060;Wien;EG
